MODEL,MAKE,MODEL,VEHICLE CLASS,ENGINE SIZE,CYLINDERS,TRANSMISSION,FUEL,FUEL CONSUMPTION*,,,,CO2 EMISSIONS ,,
YEAR,,# = high output engine,,(L),,,TYPE,CITY (L/100 km),HWY (L/100 km),COMB (L/100 km),COMB (mpg),(g/km),,
2005,CHEVROLET,C1500 SILVERADO FFV,PICKUP TRUCK - STANDARD,5.3,8,A4,E,21.6,15.9,19.0,15,304,,
2005,CHEVROLET,C1500 SILVERADO HYBRID,PICKUP TRUCK - STANDARD,5.3,8,A4,X,14.8,12.2,13.6,21,313,,
2005,CHEVROLET,C1500 SUBURBAN,SUV,5.3,8,A4,X,18.2,13.5,16.1,18,370,,
2005,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,X,18.1,13.3,15.9,18,366,,
2005,CHEVROLET,C1500 SUBURBAN FFV,SUV,5.3,8,A4,E,23.9,17.5,21.0,13,336,,
2005,CHEVROLET,C1500 TAHOE,SUV,4.8,8,A4,X,16.8,12.7,15.0,19,345,,
2005,CHEVROLET,C1500 TAHOE,SUV,5.3,8,A4,X,18.1,14.1,16.3,17,375,,
2005,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,X,19.8,15.5,17.9,16,412,,
2005,CHEVROLET,C1500 TAHOE FFV,SUV,5.3,8,A4,E,26.3,20.8,23.8,12,381,,
2005,CHEVROLET,CAVALIER,COMPACT,2.2,4,A4,X,11.3,7.9,9.8,29,225,,
2005,CHEVROLET,CAVALIER,COMPACT,2.2,4,M5,X,10.8,7.2,9.2,31,212,,
2005,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,A4,X,11.3,7.9,9.8,29,225,,
2005,CHEVROLET,COBALT,SUBCOMPACT,2.2,4,M5,X,10.9,7.3,9.3,30,214,,
2005,CHEVROLET,COBALT #,SUBCOMPACT,2.0,4,M5,Z,11.6,8.8,10.3,27,237,,
2005,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.8,4,A4,X,14.9,10.3,12.8,22,294,,
2005,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,2.8,4,M5,X,13.8,9.8,12.0,24,276,,
2005,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,3.5,5,A4,X,14.5,10.9,12.8,22,294,,
2005,CHEVROLET,COLORADO,PICKUP TRUCK - STANDARD,3.5,5,M5,X,14.6,10.2,12.6,22,290,,
2005,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.8,4,A4,X,15.2,11.1,13.4,21,308,,
2005,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,2.8,4,M5,X,14.9,11.0,13.1,22,301,,
2005,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,3.5,5,A4,X,15.2,11.4,13.5,21,311,,
2005,CHEVROLET,COLORADO 4X4,PICKUP TRUCK - STANDARD,3.5,5,M5,X,14.9,11.0,13.1,22,301,,
2005,CHEVROLET,CORVETTE,TWO-SEATER,6.0,8,A4,Z,14.4,9.6,12.2,23,281,,
2005,CHEVROLET,CORVETTE,TWO-SEATER,6.0,8,M6,Z,14.8,9.0,12.2,23,281,,
2005,CHEVROLET,EPICA,MID-SIZE,2.5,6,A4,X,13.1,9.3,11.4,25,262,,
2005,CHEVROLET,EQUINOX,SUV,3.4,6,A5,X,14.3,10.2,12.4,23,285,,
2005,CHEVROLET,EQUINOX AWD,SUV,3.4,6,A5,X,14.3,10.2,12.4,23,285,,
2005,CHEVROLET,G15 EXPRESS PASSENGER,VAN - PASSENGER,4.3,6,A4,X,18.4,14.2,16.5,17,380,,
2005,CHEVROLET,G15 EXPRESS PASSENGER,VAN - PASSENGER,5.3,8,A4,X,18.2,13.5,16.1,18,370,,
2005,CHEVROLET,G15/25 EXPRESS CARGO,VAN - CARGO,4.3,6,A4,X,18.2,13.8,16.2,17,373,,
2005,CHEVROLET,G15/25 EXPRESS CARGO,VAN - CARGO,5.3,8,A4,X,18.0,13.6,16.0,18,368,,
